reflection_answer_english,cleaned_reflection
"thecoloursmade patterns when i had my eyes closec - almost like a weave of colours in a woollen fabric
",The colours made patterns when I had my eyes closed—almost like a weave of colours in a woollen fabric.
"not sure what the puroose of it was except being with the muxic certainly not inuced to sleep dream state as bpm too high, otherwise interesting but co fusing experience, not much visions either, do t think the lights were in sy c too to , to go with music well....","Not sure what the purpose of it was except being with the music; certainly not induced to sleep/dream state as bpm too high. Otherwise, interesting but confusing experience, not much visions either. Don't think the lights were in sync, too, to go with music well..."
thus should be available for everyone all the time ,This should be available for everyone all the time.
"detachment as though my body was in one box, mind in another and my anxjety came from thst lack of control","Detachment, as though my body was in one box, mind in another, and my anxiety came from that lack of control."
a doorway ,A doorway.
"some visuals of trees, heat,sun likeexperience
","Some visuals of trees, heat, sun-like experience."
"Peacefulness and calm. At times I felt transported to a meadow full of flowers in spring, and then the sound of the bells took me to a mountaintop. I tried to really focus on the listening and in doing so the music and my imagition took me to different places.","Peacefulness and calm. At times I felt transported to a meadow full of flowers in spring, and then the sound of the bells took me to a mountaintop. I tried to really focus on the listening, and in doing so the music and my imagination took me to different places."
"relaxed and peaceful, felt the beats of the music
",Relaxed and peaceful; felt the beats of the music.
i was struggling because my mind would go back to a stringof thoughts andtoget out of it i had to take avery deep breath. once i went past that it was blank. the same set of thoughts occured thrice andiinhaled really deep to get past it.,"I was struggling because my mind would go back to a string of thoughts, and to get out of it I had to take a very deep breath. Once I went past that it was blank. The same set of thoughts occurred thrice, and I inhaled really deep to get past it."
"It was a bit weird, i know that mybrain is trying to create something by itself, i felt different things based on the colour.",It was a bit weird; I know that my brain is trying to create something by itself; I felt different things based on the colour.
"i saw a different cokour to the lights that were in the centre when i closed my eyes


",I saw a different colour to the lights that were in the centre when I closed my eyes.
"some thoughts about mundane everyday things like work, but mainly felt relaxed ansd able to float into a dreamlike place

some visuals ofspace and deep ocean","Some thoughts about mundane everyday things like work, but mainly felt relaxed and able to float into a dreamlike place. Some visuals of space and deep ocean."
"so many different things. i was a little afraid at thinking of the gas chambers. then an overwheming feeling of love and connection to everyone in the room. i became a white egret from a dream last week. i flew around the room touching everyone. my heart expanded and i opened my wings to hold the room. then i t felt like a typeof death experience as i decended into the underworld. i felyt myself go down through the layers of the earth into a moss land. there was abeing there call eveleryn. then things changed and it became very pink and i was in the clouds. i met a being, long and blue, with not much of a defined form. he told me he was francis of assisi. i asked him how i was doing and about my husband. he told me we were doing important work that was our destiny. then i became a mantaray and drifted.","So many different things. I was a little afraid at thinking of the gas chambers. Then an overwhelming feeling of love and connection to everyone in the room. I became a white egret from a dream last week. I flew around the room touching everyone. My heart expanded and I opened my wings to hold the room. Then it felt like a type of death experience as I descended into the underworld. I felt myself go down through the layers of the earth into a moss land. There was a being there called Evelyn. Then things changed and it became very pink and I was in the clouds. I met a being, long and blue, with not much of a defined form. He told me he was Francis of Assisi. I asked him how I was doing and about my husband. He told me we were doing important work that was our destiny. Then I became a manta ray and drifted."
"Complete relaxation,peace of mind and ready to face whatever happens


","Complete relaxation, peace of mind, and ready to face whatever happens."
"I went on a train, underwater, saw seas of colour and pulsing shapes. At one point I think I was milking a cow in a field with someone playing the piano. Felt like I had a p without pping.","I went on a train, underwater, saw seas of colour and pulsing shapes. At one point I think I was milking a cow in a field with someone playing the piano. Felt like I had a pee without peeing."
i was awake the whole time i could not relax or switch off,I was awake the whole time; I could not relax or switch off.
constant thoughts coming towards me as i batted them away into the sky,Constant thoughts coming towards me as I batted them away into the sky.
i mostly saw grey geometric shapes,I mostly saw grey geometric shapes.
"I couldn't stop the thinking process, I was trying memorise the visuals and then trying to disconnect but couldn't, I wish I meditated more. 

At some point started experimenting and trying to recall the images I liked. It was successful 50% of time. 

Reminded 2001: space odyssey ",I couldn't stop the thinking process; I was trying to memorise the visuals and then trying to disconnect but couldn't; I wish I meditated more. At some point started experimenting and trying to recall the images I liked. It was successful 50% of the time. Reminded me of 2001: Space Odyssey.
"It was something very familiar to the soul but not...
I experienced several emotions
Felt numb too
",It was something very familiar to the soul but not... I experienced several emotions. Felt numb too.
"Floating in space
",Floating in space.
"my mind is a jellyfish, suspended in space","My mind is a jellyfish, suspended in space."
